application_id,candidate_id,job_id,referred,gender,ethnicity,education_level,age,university_rank,years_experience,ai_screening,recruiter_id,rec_screening,rec_gender,rec_ethnicity,rec_age,rec_education_level,rec_university_rank,tech_interview_score,tech_screening,management_screening
1,1,1,0,Male,Other,Bachelor,27,Tier 2,3,0,0,,,,,,,,,
2,1,2,0,Male,Other,Bachelor,27,Tier 2,3,0,0,,,,,,,,,
3,2,3,0,Male,White,PhD,27,Tier 3,2,1,0,0,,,,,,,,
4,2,4,0,Male,White,PhD,27,Tier 3,2,1,0,0,,,,,,,,
5,3,5,0,Female,White,Bachelor,21,Tier 2,0,0,0,,,,,,,,,
6,3,6,1,Female,White,Bachelor,21,Tier 2,0,0,0,,,,,,,,,
7,4,7,1,Male,White,Bachelor,21,Tier 2,0,1,0,0,,,,,,,,
8,4,8,0,Male,White,Bachelor,21,Tier 2,0,0,0,,,,,,,,,
9,5,9,1,Female,Black,Bachelor,22,Tier 3,0,1,0,0,,,,,,,,
10,5,10,0,Female,Black,Bachelor,22,Tier 3,0,0,0,,,,,,,,,
11,6,11,0,Male,Black,Bachelor,22,Tier 3,1,1,0,0,,,,,,,,
12,6,12,0,Male,Black,Bachelor,22,Tier 3,1,0,0,,,,,,,,,
13,7,13,1,Male,Prefer not to say,Bachelor,22,Tier 3,0,1,0,0,,,,,,,,
14,7,14,0,Male,Prefer not to say,Bachelor,22,Tier 3,0,1,0,0,,,,,,,,
15,8,15,0,Female,Prefer not to say,Bachelor,49,Tier 3,6,0,0,,,,,,,,,
16,8,16,0,Female,Prefer not to say,Bachelor,49,Tier 3,6,0,0,,,,,,,,,
17,9,17,1,Male,White,Master,24,Tier 2,0,0,0,,,,,,,,,
18,9,18,1,Male,White,Master,24,Tier 2,0,0,0,,,,,,,,,
19,10,19,1,Female,Black,Master,23,Tier 3,0,0,0,,,,,,,,,
20,10,20,0,Female,Black,Master,23,Tier 3,0,0,0,,,,,,,,,
21,11,1,0,Prefer not to say,White,Bachelor,21,Tier 2,0,0,0,,,,,,,,,
22,11,2,0,Prefer not to say,White,Bachelor,21,Tier 2,0,0,0,,,,,,,,,
23,12,3,0,Male,Other,Bachelor,49,Tier 3,6,0,0,,,,,,,,,
24,12,4,1,Male,Other,Bachelor,49,Tier 3,6,0,0,,,,,,,,,
25,13,5,0,Male,Hispanic,Bachelor,21,Tier 2,1,1,0,0,,,,,,,,
26,13,6,0,Male,Hispanic,Bachelor,21,Tier 2,1,0,0,,,,,,,,,
27,14,7,0,Male,Asian,Master,25,Tier 3,2,1,0,0,,,,,,,,
28,14,8,1,Male,Asian,Master,25,Tier 3,2,1,0,0,,,,,,,,
29,15,9,0,Female,White,Bachelor,53,Tier 3,9,0,0,,,,,,,,,
30,15,10,1,Female,White,Bachelor,53,Tier 3,9,0,0,,,,,,,,,
31,16,11,0,Male,Prefer not to say,Bachelor,23,Tier 3,0,0,0,,,,,,,,,
32,16,12,0,Male,Prefer not to say,Bachelor,23,Tier 3,0,0,0,,,,,,,,,
33,17,13,0,Male,Black,Bachelor,30,Tier 2,4,1,0,0,,,,,,,,
34,17,14,1,Male,Black,Bachelor,30,Tier 2,4,0,0,,,,,,,,,
35,18,15,1,Male,Hispanic,Bachelor,23,Tier 3,0,0,0,,,,,,,,,
36,18,16,0,Male,Hispanic,Bachelor,23,Tier 3,0,0,0,,,,,,,,,
37,19,17,0,Male,Other,Bachelor,22,Tier 2,1,0,0,,,,,,,,,
38,19,18,1,Male,Other,Bachelor,22,Tier 2,1,0,0,,,,,,,,,
39,20,19,0,Other,White,Bachelor,22,Tier 3,0,0,0,,,,,,,,,
40,20,20,0,Other,White,Bachelor,22,Tier 3,0,0,0,,,,,,,,,
41,21,1,0,Female,Asian,Bachelor,21,Tier 3,1,1,0,0,,,,,,,,
42,21,2,1,Female,Asian,Bachelor,21,Tier 3,1,0,0,,,,,,,,,
43,22,3,0,Male,Hispanic,Master,26,Tier 3,2,1,0,0,,,,,,,,
44,22,4,0,Male,Hispanic,Master,26,Tier 3,2,0,0,,,,,,,,,
45,23,5,0,Other,Black,PhD,37,Tier 2,7,0,0,,,,,,,,,
46,23,6,0,Other,Black,PhD,37,Tier 2,7,0,0,,,,,,,,,
47,24,7,1,Female,Black,Bachelor,21,Tier 3,0,0,0,,,,,,,,,
48,24,8,1,Female,Black,Bachelor,21,Tier 3,0,0,0,,,,,,,,,
49,25,9,1,Male,Black,Bachelor,42,Tier 3,7,0,0,,,,,,,,,
50,25,10,1,Male,Black,Bachelor,42,Tier 3,7,0,0,,,,,,,,,
51,26,11,1,Male,Asian,Master,30,Tier 1,5,0,0,,,,,,,,,
52,26,12,0,Male,Asian,Master,30,Tier 1,5,0,0,,,,,,,,,
53,27,13,0,Female,Hispanic,Bachelor,21,Tier 3,2,0,0,,,,,,,,,
54,27,14,0,Female,Hispanic,Bachelor,21,Tier 3,2,0,0,,,,,,,,,
55,28,15,0,Other,Asian,PhD,34,Tier 3,8,0,0,,,,,,,,,
56,28,16,1,Other,Asian,PhD,34,Tier 3,8,0,0,,,,,,,,,
57,29,17,1,Female,Black,Master,27,Tier 3,2,0,0,,,,,,,,,
58,29,18,0,Female,Black,Master,27,Tier 3,2,1,0,0,,,,,,,,
59,30,19,1,Female,Prefer not to say,Bachelor,50,Tier 3,8,0,0,,,,,,,,,
60,30,20,1,Female,Prefer not to say,Bachelor,50,Tier 3,8,0,0,,,,,,,,,
61,31,1,1,Male,Asian,Master,35,Tier 3,5,0,0,,,,,,,,,
62,31,2,1,Male,Asian,Master,35,Tier 3,5,0,0,,,,,,,,,
63,32,3,1,Prefer not to say,Hispanic,Bachelor,22,Tier 3,0,0,0,,,,,,,,,
64,32,4,0,Prefer not to say,Hispanic,Bachelor,22,Tier 3,0,0,0,,,,,,,,,
65,33,5,0,Male,Hispanic,Bachelor,22,Tier 2,0,0,0,,,,,,,,,
66,33,6,1,Male,Hispanic,Bachelor,22,Tier 2,0,0,0,,,,,,,,,
67,34,7,0,Female,Asian,Bachelor,29,Tier 1,3,0,0,,,,,,,,,
68,34,8,0,Female,Asian,Bachelor,29,Tier 1,3,0,0,,,,,,,,,
69,35,9,0,Male,Prefer not to say,Bachelor,35,Tier 2,6,0,0,,,,,,,,,
70,35,10,0,Male,Prefer not to say,Bachelor,35,Tier 2,6,0,0,,,,,,,,,
71,36,11,1,Male,Black,Bachelor,22,Tier 2,0,1,0,0,,,,,,,,
72,36,12,1,Male,Black,Bachelor,22,Tier 2,0,1,5,1,Male,Black,53,Master,Tier 1,67,0,
73,37,13,0,Male,Asian,Bachelor,21,Tier 3,0,1,4,1,Male,Other,35,Master,Tier 1,74,0,
