candidate_id,gender,ethnicity,education_level,age,university_rank,years_experience
1,Male,Other,Bachelor,27,Tier 2,3.0
2,Male,White,PhD,27,Tier 3,2.0
3,Female,White,Bachelor,21,Tier 2,0.0
4,Male,White,Bachelor,21,Tier 2,0.0
5,Female,Black,Bachelor,22,Tier 3,0.0
6,Male,Black,Bachelor,22,Tier 3,1.0
7,Male,Prefer not to say,Bachelor,22,Tier 3,0.0
8,Female,Prefer not to say,Bachelor,49,Tier 3,6.0
9,Male,White,Master,24,Tier 2,0.0
10,Female,Black,Master,23,Tier 3,0.0
11,Prefer not to say,White,Bachelor,21,Tier 2,0.0
12,Male,Other,Bachelor,49,Tier 3,6.0
13,Male,Hispanic,Bachelor,21,Tier 2,1.0
14,Male,Asian,Master,25,Tier 3,2.0
15,Female,White,Bachelor,53,Tier 3,9.0
16,Male,Prefer not to say,Bachelor,23,Tier 3,0.0
17,Male,Black,Bachelor,30,Tier 2,4.0
18,Male,Hispanic,Bachelor,23,Tier 3,0.0
19,Male,Other,Bachelor,22,Tier 2,1.0
20,Other,White,Bachelor,22,Tier 3,0.0
21,Female,Asian,Bachelor,21,Tier 3,1.0
22,Male,Hispanic,Master,26,Tier 3,2.0
23,Other,Black,PhD,37,Tier 2,7.0
24,Female,Black,Bachelor,21,Tier 3,0.0
25,Male,Black,Bachelor,42,Tier 3,7.0
26,Male,Asian,Master,30,Tier 1,5.0
27,Female,Hispanic,Bachelor,21,Tier 3,2.0
28,Other,Asian,PhD,34,Tier 3,8.0
29,Female,Black,Master,27,Tier 3,2.0
30,Female,Prefer not to say,Bachelor,50,Tier 3,8.0
31,Male,Asian,Master,35,Tier 3,5.0
32,Prefer not to say,Hispanic,Bachelor,22,Tier 3,0.0
33,Male,Hispanic,Bachelor,22,Tier 2,0.0
34,Female,Asian,Bachelor,29,Tier 1,3.0
35,Male,Prefer not to say,Bachelor,35,Tier 2,6.0
36,Male,Black,Bachelor,22,Tier 2,0.0
37,Male,Asian,Bachelor,21,Tier 3,0.0
38,Female,Other,PhD,33,Tier 3,8.0
39,Other,Asian,Bachelor,23,Tier 2,0.0
40,Male,Asian,Bachelor,21,Tier 2,0.0
41,Male,White,Bachelor,44,Tier 2,12.0
42,Female,Asian,Bachelor,43,Tier 2,9.0
43,Male,White,Bachelor,22,Tier 3,1.0
44,Prefer not to say,Black,Bachelor,21,Tier 2,0.0
45,Female,Asian,Bachelor,22,Tier 1,0.0
46,Male,Hispanic,PhD,53,Tier 3,7.0
47,Female,Other,Bachelor,48,Tier 3,7.0
48,Female,Prefer not to say,Bachelor,23,Tier 3,0.0
49,Male,White,Bachelor,22,Tier 3,0.0
50,Male,Hispanic,Bachelor,45,Tier 2,8.0
51,Male,Prefer not to say,Bachelor,38,Tier 3,3.0
52,Male,White,Bachelor,21,Tier 3,0.0
53,Male,Prefer not to say,Bachelor,25,Tier 2,2.0
54,Male,Hispanic,Bachelor,22,Tier 2,0.0
55,Prefer not to say,Hispanic,Bachelor,21,Tier 3,0.0
56,Female,Other,Master,25,Tier 3,3.0
57,Prefer not to say,Prefer not to say,Bachelor,45,Tier 3,8.0
58,Male,Black,Master,24,Tier 2,0.0
59,Female,Black,Bachelor,23,Tier 2,0.0
60,Female,Hispanic,Bachelor,45,Tier 2,10.0
61,Female,White,Bachelor,23,Tier 3,0.0
62,Male,Asian,Bachelor,23,Tier 1,0.0
63,Female,White,Bachelor,23,Tier 3,0.0
64,Female,Hispanic,Bachelor,22,Tier 2,0.0
65,Female,Other,Bachelor,35,Tier 3,4.0
66,Prefer not to say,Black,Bachelor,54,Tier 3,9.0
67,Female,Asian,Bachelor,22,Tier 2,0.0
68,Female,Hispanic,Bachelor,21,Tier 3,0.0
69,Other,Hispanic,Bachelor,50,Tier 3,5.0
70,Male,Asian,Bachelor,22,Tier 2,0.0
71,Other,Other,Bachelor,54,Tier 3,5.0
72,Male,White,Master,39,Tier 2,12.0
73,Male,Prefer not to say,Master,26,Tier 3,4.0
74,Female,Hispanic,Master,49,Tier 3,12.0
75,Male,Black,Bachelor,21,Tier 2,0.0
76,Prefer not to say,Hispanic,Bachelor,22,Tier 3,0.0
77,Male,White,Bachelor,23,Tier 3,0.0
78,Male,White,Bachelor,52,Tier 3,6.0
