application_id,management_screening
244,0
257,0
258,1
314,0
404,0
467,0
636,0
777,0
1011,1
1023,0
1029,1
1030,0
1069,0
1120,0
1251,0
1263,0
1359,0
1374,1
1401,1
1412,1
1511,0
1671,0
1833,0
2010,0
2044,1
2078,0
2131,0
2366,0
2686,0
2689,0
2902,0
2922,0
2948,1
3120,1
3191,0
3332,0
3337,1
3676,0
4015,0
4036,0
4082,0
4217,0
4376,0
4431,0
4472,0
4729,0
4786,0
4855,0
4976,0
5003,0
5094,0
5121,0
5199,1
5513,0
5576,0
5642,1
5704,0
5828,0
5927,0
6102,0
6132,0
6283,0
6315,0
6376,1
6384,0
6408,0
6611,0
6627,1
6890,0
7057,0
7070,0
7077,0
7110,1
7333,0
7395,1
7424,0
7501,0
7509,0
7573,1
7634,0
7743,0
8205,1
8283,0
8288,0
8361,0
8456,0
8628,0
8641,0
8671,0
8705,0
8812,0
8869,0
8977,0
9036,0
9159,0
9305,0
9320,0
9486,1
9541,0
9663,1
9691,0
9715,0
9842,0
9874,0
9981,0
